,Modularity,n-cut,Conductance
0,0.007283402353007222,0.9934013776071311,0.9934013776071311
1,0.007283402353007222,0.9878675937997972,0.9878675937997972
2,0.007283402353007222,0.9915011345089766,0.9915011345089766
3,0.007283402353007222,0.9841424341971854,0.9841424341971854
4,0.007283402353007222,0.9940204758778545,0.9940204758778545
5,0.007283402353007222,0.9820357618836073,0.9820357618836073
6,0.007283402353007222,0.9909618892998812,0.9909618892998812
7,0.007283402353007222,0.985702392586962,0.985702392586962
8,0.007283402353007222,0.9892297024152024,0.9892297024152024
9,0.007283402353007222,0.9868143459915611,0.9868143459915611
10,0.007283402353007222,0.9843518437799669,0.9843518437799669
11,0.007283402353007222,0.9800435574914441,0.9800435574914441
12,0.007283402353007222,0.9937013123727981,0.9937013123727981
13,0.007283402353007222,0.988317951276295,0.988317951276295
14,0.007283402353007222,0.9871516109903143,0.9871516109903143
15,0.007283402353007222,0.9804242167763115,0.9804242167763115
16,0.007283402353007222,0.9676590891743482,0.9676590891743482
17,0.007283402353007222,0.9833046069352341,0.9833046069352341
18,0.007283402353007222,0.9905939500993597,0.9905939500993597
19,0.007283402353007222,0.9934799673197379,0.9934799673197379
20,0.007283402353007222,0.9911858778719145,0.9911858778719145
21,0.007283402353007222,0.993610872804443,0.993610872804443
22,0.007283402353007222,0.9903348865789339,0.9903348865789339
23,0.007283402353007222,0.9816481951581946,0.9816481951581946
24,0.007283402353007222,0.9830109540545394,0.9830109540545394
25,0.007283402353007222,0.994165524687513,0.994165524687513
26,0.007283402353007222,0.9936912180206681,0.9936912180206681
27,0.007283402353007222,0.9925959309812001,0.9925959309812001
28,0.007283402353007222,0.9932087511394713,0.9932087511394713
29,0.007283402353007222,0.9919124508667251,0.9919124508667251
30,0.007283402353007222,0.9933176301909981,0.9933176301909981
31,0.007283402353007222,0.9894893717154286,0.9894893717154286
32,0.007283402353007222,0.9919211362907224,0.9919211362907224
33,0.007283402353007222,0.993155387271933,0.993155387271933
34,0.007283402353007222,0.9868636454382113,0.9868636454382113
35,0.007283402353007222,0.9926450592103637,0.9926450592103637
36,0.007283402353007222,0.9924795585315791,0.9924795585315791
37,0.007283402353007222,0.9931659774399596,0.9931659774399596
38,0.007283402353007222,0.9921510074928428,0.9921510074928428
39,0.007283402353007222,0.9916152643425371,0.9916152643425371
40,0.007283402353007222,0.9897597654297677,0.9897597654297677
41,0.007283402353007222,0.9912705556269913,0.9912705556269913
42,0.007283402353007222,0.9878986238575377,0.9878986238575377
43,0.007283402353007222,0.9938848178346579,0.9938848178346579
44,0.007283402353007222,0.9931200965600483,0.9931200965600483
45,0.007283402353007222,0.9928817894457448,0.9928817894457448
46,0.007283402353007222,0.9887382309682545,0.9887382309682545
47,0.007283402353007222,0.9941525861432893,0.9941525861432893
48,0.007283402353007222,0.9911423375331999,0.9911423375331999
49,0.007283402353007222,0.9904514041535513,0.9904514041535513
50,0.007283402353007222,0.9945487317008836,0.9945487317008836
51,0.007283402353007222,0.9939881294275321,0.9939881294275321
52,0.007283402353007222,0.994419571813533,0.994419571813533
53,0.007283402353007222,0.9942304986162578,0.9942304986162578
54,0.007283402353007222,0.9942053662153626,0.9942053662153626
55,0.007283402353007222,0.9947003317678487,0.9947003317678487
56,0.007283402353007222,0.9945057369814652,0.9945057369814652
57,0.007283402353007222,0.9941730540297822,0.9941730540297822
58,0.007283402353007222,0.9935667829201621,0.9935667829201621
59,0.007283402353007222,0.9933946192664974,0.9933946192664974
60,0.007283402353007222,0.9941076019441161,0.9941076019441161
61,0.007283402353007222,0.9936682054974376,0.9936682054974376
62,0.007283402353007222,0.9944164885917144,0.9944164885917144
63,0.007283402353007222,0.993361801242236,0.993361801242236
64,0.007283402353007222,0.9944805593033239,0.9944805593033239
65,0.007283402353007222,0.9931548340198691,0.9931548340198691
66,0.007283402353007222,0.9931866374665416,0.9931866374665416
67,0.007283402353007222,0.9941738475014769,0.9941738475014769
68,0.007283402353007222,0.9935610769887365,0.9935610769887365
69,0.007283402353007222,0.994989498949895,0.994989498949895
70,0.007283402353007222,0.9938175864891646,0.9938175864891646
71,0.007283402353007222,0.992989981114561,0.992989981114561
72,0.007283402353007222,0.9931750456599058,0.9931750456599058
73,0.007283402353007222,0.9915355398806294,0.9915355398806294
74,0.007283402353007222,0.9906121108899514,0.9906121108899514
75,0.007283402353007222,0.9910855471220746,0.9910855471220746
76,0.007283402353007222,0.9928583411220553,0.9928583411220553
77,0.007283402353007222,0.9918554476806904,0.9918554476806904
78,0.007283402353007222,0.9855018587360594,0.9855018587360594
79,0.007283402353007222,0.9881949458483754,0.9881949458483754
80,0.007283402353007222,0.9923295964700751,0.9923295964700751
81,0.007283402353007222,0.9925155987520998,0.9925155987520998
82,0.007283402353007222,0.9898366606170599,0.9898366606170599
83,0.007283402353007222,0.9919385076865391,0.9919385076865391
84,0.007283402353007222,0.9916714531878231,0.9916714531878231
85,0.007283402353007222,0.9936267823930565,0.9936267823930565
86,0.007283402353007222,0.989562308978721,0.989562308978721
87,0.007283402353007222,0.9914478212803237,0.9914478212803237
88,0.007283402353007222,0.993452389315873,0.993452389315873
89,0.007283402353007222,0.9918506756149444,0.9918506756149444
90,0.007283402353007222,0.99152977412731,0.99152977412731
91,0.007283402353007222,0.9931720535539194,0.9931720535539194
92,0.007283402353007222,0.9939411779135084,0.9939411779135084
93,0.007283402353007222,0.9930771981811679,0.9930771981811679
94,0.007283402353007222,0.9899849774661993,0.9899849774661993
95,0.007283402353007222,0.9930573769227209,0.9930573769227209
96,0.007283402353007222,0.9949604676686004,0.9949604676686004
97,0.007283402353007222,0.9905012629406952,0.9905012629406952
98,0.007283402353007222,0.9910744133181788,0.9910744133181788
99,0.007283402353007222,0.9937323464527967,0.9937323464527967
